,StartStationName,county,city,province
155,庄浪昌隆站,庄浪县,平凉,甘肃
156,兰州中川民航售票处,,兰州,甘肃
157,偏关汽车客运站,偏关县,忻州,山西
158,222403004,,,
159,朴木,,,
160,平度站,平度市,青岛,山东
161,樱桃园站,,,
162,岚山车站,岚山区,日照,山东
163,郧县,,,
164,邵东汽车站,邵东市,邵阳,湖南
165,吉首汽车东站,吉首市,湘西,湖南
166,广州罗冲围汽车客运站,,广州,广东
167,永福总站,永福县,桂林,广西
168,广西玉林博白,博白县,玉林,广西
169,双辽客运站,双辽市,四平,吉林
170,赣州汽车站,,赣州,江西
171,滦南汽车客运站,滦南县,唐山,河北
172,贺州客运中心站,,贺州,广西
173,田林客运站,田林县,百色,广西
174,民和客运站,民和回族土族自治县,海东,青海
175,尧庙汽车站,,,
176,岫岩,岫岩满族自治县,鞍山,辽宁
177,沭阳东站,阳东区,阳江,广东
178,苏州吴中站,中站区,焦作,河南
179,淮安南站,淮安区,淮安,江苏
180,徐州中汇,,徐州,江苏
181,富阳客运南站,富阳区,杭州,浙江
182,舟山市汽车客运中心,,舟山,浙江
183,万安汽车站,万安县,吉安,江西
184,startstationname,,,
185,店埠,,,
186,肇庆城东汽车客运站,城东区,西宁,青海
187,徐闻中心客运站（新国线车站）,徐闻县,湛江,广东
188,佛山市石湾汽车客运站,,佛山,广东
189,防城港港口汽车站,防城区,防城,广西
190,雅安长途客运站,,雅安,四川
191,潜江客运站,潜江市,恩施,湖北
192,兴国县汽车站,兴国县,赣州,江西
193,三江汽车河东客运服务站,三江侗族自治县,柳州,广西
194,枋湖汽车站,,,
195,佛坪客运站,佛坪县,汉中,陕西
196,庆城南站,庆城县,庆阳,甘肃
197,敦化市长途客运站,敦化市,延边,吉林
198,231124001,,,
199,231002006,,,
200,佳木斯枢纽站,,佳木,黑龙
201,浦江站,浦江县,金华,浙江
202,沛县北站,沛县,徐州,江苏
203,南通家纺城,,南通,江苏
204,四堡,,,
205,三明北沙县,沙县,三明,福建
206,舞钢新长途站,舞钢市,平顶,河南
207,炎陵汽车站,炎陵县,株洲,湖南
208,湛江市海田汽车客运站,,湛江,广东
209,阳西溪头站,阳西县,阳江,广东
210,广州白云国际机场客运中心,白云区,贵阳,贵州
211,大致坡路口,,,
212,文昌蓬莱,文昌市,儋州,海南
213,兴仁汽车站,兴仁市,黔西,贵州
214,韩城新城汽车站,韩城市,渭南,陕西
215,白山客运总站,,白山,吉林
216,长汀汽车车站,长汀县,龙岩,福建
217,天等客运总站,天等县,崇左,广西
218,钦州北站,,钦州,广西
219,犍为南门中心站,犍为县,乐山,四川
220,蔡家坡汽车站,,,
